P4,O2,P8,T8,C4,Cz,Fz,F4,Fp2,F8,Fp1,F7,F3,C3,T7,P7,P3,O1,Pz
10.6839546,44.64396106,7.304639448,5.144572557,7.757571432,3.193686483,55.90804097,3.176231985,6.874302906,4.298959649,-4.473840777,-7.845947403,3.932485693,4.821914805,1.853418191,6.735179372,15.6597765,35.48248011,66.04158118
15.53371593,21.66692553,7.736821941,4.802761122,6.728593371,2.157941888,27.88229066,-0.728860755,3.923570957,14.59907959,-3.728154958,-11.19735368,-0.086788908,1.70791941,-0.270638254,9.903902494,14.55698856,28.29045432,60.35326208
17.27283494,9.297821022,7.472412278,4.635795559,4.74561325,-0.116595313,-9.093017973,-4.141816349,0.806047854,20.26171094,-2.995632395,-13.71588405,-4.152246034,-2.863091643,-4.124773963,8.646432777,10.15231523,22.96937471,55.53619076
16.0504174,9.351263713,7.472975946,4.872636315,2.885632379,-2.462657494,-33.59994288,-5.732338949,-1.919172051,19.37100833,-2.918473187,-13.9044747,-6.577371148,-6.429796426,-7.563098666,3.993985811,5.425560122,21.89323845,53.34498223
13.57670227,17.70562935,8.628231258,5.34724269,2.084466001,-3.593365774,-34.14264245,-5.360121131,-4.50297726,13.01455616,-3.935106894,-11.45484407,-6.651466681,-7.253876121,-8.67038838,-0.987558141,3.303896957,25.6547531,54.12106985
12.19741704,27.55974116,11.20737713,5.886808234,2.66886873,-2.910365613,-16.00310017,-3.914570318,-7.025565211,4.767690042,-5.672688286,-7.774462654,-4.94945663,-5.366823711,-6.750100206,-3.007088154,5.088365988,33.01136636,57.02163684
13.38400394,33.56861087,14.50952884,6.505282538,4.19482374,-0.878343356,4.3988507,-2.49211982,-8.70304947,-1.310539055,-6.897984816,-5.230227381,-2.794006464,-2.339707153,-2.577336681,-0.583958183,9.88411724,41.47904564,60.70063544
16.66380969,33.99848814,16.9901724,7.189473734,5.652692141,1.288512274,12.51969197,-1.631369972,-8.348700493,-3.018948848,-6.27276466,-5.433476836,-1.320284283,-0.020882366,2.168921884,5.018115339,15.28166601,48.13489934,63.86821803
19.82908749,29.97476823,16.92223125,7.55725822,5.942478122,2.39889449,5.733419829,-1.185306012,-5.64492285,-1.123445856,-3.432959027,-7.816896043,-0.837799596,0.755272775,5.891285804,10.56896092,18.77262983,50.39049692,65.50152635
20.3885336,23.21294759,13.31084318,6.871253254,4.416475496,1.975221391,-6.820087037,-0.805596494,-1.94872653,1.593712636,0.505918273,-9.756601362,-0.892893077,0.526976285,7.862401883,12.82815045,18.9990435,46.70148553,64.88282712
17.28480431,14.45410942,6.546462988,4.573272508,1.250302448,0.410081254,-13.28424118,-0.48893018,0.366868039,2.662202674,3.572887016,-8.404591867,-0.867383951,0.452247098,8.379624994,10.38901313,16.1446633,37.13098202,61.71542904
11.63949547,3.714684154,-1.6420423,0.946746639,-2.549323241,-1.456232045,-8.937970801,-0.635489752,-0.271748243,1.828342144,4.351689268,-2.994063715,-0.560536963,1.146609255,8.282873499,4.270423799,11.39384118,23.49235537,56.3120857
5.960398919,-8.39659453,-8.977201019,-2.736044367,-5.551731617,-2.969492004,1.040376801,-1.564842449,-3.134091198,1.011301936,3.113787083,4.184222759,-0.278700141,2.091392907,8.235137535,-2.974642519,5.971687765,8.793350632,49.60110487
2.378518457,-19.95144953,-13.73371021,-4.872163633,-6.574138612,-4.02966031,7.294696102,-2.963060497,-5.377492775,2.364146263,1.726056945,9.08928907,-0.401846551,2.074083263,8.280084719,-8.881416904,0.458713456,-3.940739796,42.7610343
1.209810496,-28.48581847,-15.49744457,-4.588889639,-5.297625637,-4.970367623,4.868070469,-3.821869644,-3.984594751,6.118364665,2.314162883,8.767242089,-0.83187023,0.257789739,7.955317073,-12.30587267,-5.227906395,-12.89622002,36.63892671
0.886524688,-32.65046077,-15.14133304,-2.386313806,-2.486502901,-6.122723403,-2.790107797,-3.005304035,1.978242408,10.14303917,5.674806513,3.698899979,-0.813929466,-3.022825421,6.823888034,-13.58296054,-11.3157203,-18.01000275,31.38278896
-0.737480216,-33.18728416,-14.09049837,0.188541108,0.345804769,-7.457688006,-7.336471222,-0.026441925,10.53984039,11.70826241,10.67660648,-2.149816051,0.682369702,-6.390252856,4.984005089,-13.75936739,-17.60712636,-20.46977611,26.61577096
-4.725178446,-32.26699255,-13.40616623,1.612826013,1.672862732,-8.589789254,-2.984296905,4.574053304,18.0828153,9.975121505,15.12934589,-3.778377361,4.269026806,-8.362263912,3.143028046,-13.63633448,-23.30718601,-21.55159584,22.04376839
-10.2721263,-31.7035895,-13.2930725,1.35972483,0.696411479,-9.097671999,8.680451313,9.524497612,21.69207622,6.969832505,17.43187391,1.510698136,9.608468203,-8.344904622,2.178071413,-13.32104555,-27.34290577,-21.65710373,18.00006745
-15.302297,-31.57285456,-13.28411889,0.012503198,-2.314761771,-8.855979831,20.33338744,13.51957092,20.81347034,6.009184138,17.68402267,12.16827635,15.39672429,-6.921644063,2.502762395,-12.46065176,-28.89266649,-20.23763519,15.45732008
-17.8761691,-30.39525147,-12.85007811,-1.496223033,-6.248118003,-8.087904576,25.08484192,15.75878215,17.10577758,8.776460625,17.38371631,23.15865994,19.8630192,-5.27918844,3.716572316,-10.7955829,-27.72870002,-16.57083708,15.48099693
-17.28252226,-26.65097574,-11.89933968,-2.777745697,-9.746555843,-7.107937367,21.64707149,15.97997987,12.85425461,13.56452599,17.97226101,28.86814177,21.48111262,-4.294082825,4.805843551,-8.518498363,-24.171218,-10.6697918,18.57786261
-14.04117329,-20.23694421,-10.76966229,-4.169359288,-11.78855011,-5.997003416,14.31308288,14.13521246,9.347525343,16.36270609,19.40989832,26.22271164,19.5168318,-4.015260736,4.752746114,-6.192903258,-18.76791811,-3.522560069,24.48023403
-8.975063312,-12.57335308,-9.744337736,-6.026897189,-11.92323813,-4.505388482,8.357933752,10.1658909,6.409496487,14.0764172,19.92898822,16.10829957,14.19626915,-3.879740784,3.114326003,-4.375037498,-11.98671635,3.55186718,32.51740119
-2.240059621,-5.30462812,-8.510948122,-7.805928494,-10.11914654,-2.276077819,5.325261809,4.178596856,3.151731642,7.256520736,17.18090188,2.473624306,6.51482144,-3.364724342,0.189491147,-3.268174357,-4.129912468,9.882959018,42.20125662
6.834362097,1.199780235,-6.038341903,-7.88779872,-6.46788827,0.795954229,2.337859425,-3.141685079,-0.964824107,-0.014250911,9.932365977,-9.999056952,-2.141123269,-2.45411041,-3.259689238,-2.632379208,4.544468223,15.91703274,53.45905684
